[log] tee initialized at 2025-11-05 03:24:28 -> temp_Bidi_cvae\session_20251105-032428.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-05 03:24:31 -> temp_Bidi_cvae\cvae_20251105-032431\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 064 | Train Total=0.6227 | Val post/prior Total=0.6711/0.7198, Recon post/prior=0.5960/0.5921, KL=0.0239, CycSim post/prior=0.0573/0.0371, CycMeas=0.0990, PriorBnd post/prior=1.86e-04/1.08e-04 | Best 0.0979 | Patience 2/40
 >> Epoch 065 | Train Total=0.6255 | Val post/prior Total=0.6731/0.7229, Recon post/prior=0.5980/0.5939, KL=0.0261, CycSim post/prior=0.0573/0.0379, CycMeas=0.0996, PriorBnd post/prior=1.60e-04/1.00e-04 | Best 0.0979 | Patience 3/40
 >> Epoch 066 | Train Total=0.6234 | Val post/prior Total=0.6726/0.7225, Recon post/prior=0.5973/0.5933, KL=0.0238, CycSim post/prior=0.0576/0.0384, CycMeas=0.0990, PriorBnd post/prior=1.33e-04/1.00e-04 | Best 0.0979 | Patience 4/40
 >> Epoch 067 | Train Total=0.6246 | Val post/prior Total=0.6820/0.7319, Recon post/prior=0.6006/0.5971, KL=0.0242, CycSim post/prior=0.0629/0.0437, CycMeas=0.0983, PriorBnd post/prior=9.62e-05/1.00e-04 | Best 0.0979 | Patience 5/40
 >> Epoch 068 | Train Total=0.6276 | Val post/prior Total=0.6758/0.7300, Recon post/prior=0.5994/0.5965, KL=0.0220, CycSim post/prior=0.0588/0.0424, CycMeas=0.0984, PriorBnd post/prior=1.15e-04/9.20e-05 | Best 0.0979 | Patience 6/40
 >> Epoch 069 | Train Total=0.6269 | Val post/prior Total=0.6734/0.7196, Recon post/prior=0.5956/0.5913, KL=0.0245, CycSim post/prior=0.0596/0.0381, CycMeas=0.0984, PriorBnd post/prior=2.13e-04/1.07e-04 | Best 0.0979 | Patience 7/40
 >> Epoch 070 | Train Total=0.6281 | Val post/prior Total=0.6720/0.7229, Recon post/prior=0.5962/0.5928, KL=0.0241, CycSim post/prior=0.0581/0.0385, CycMeas=0.0999, PriorBnd post/prior=1.09e-04/1.07e-04 | Best 0.0979 | Patience 8/40
 >> Epoch 071 | Train Total=0.6273 | Val post/prior Total=0.6735/0.7186, Recon post/prior=0.5949/0.5902, KL=0.0237, CycSim post/prior=0.0602/0.0372, CycMeas=0.0998, PriorBnd post/prior=2.81e-04/1.10e-04 | Best 0.0979 | Patience 9/40
 >> Epoch 072 | Train Total=0.6288 | Val post/prior Total=0.6717/0.7173, Recon post/prior=0.5941/0.5893, KL=0.0244, CycSim post/prior=0.0593/0.0373, CycMeas=0.0990, PriorBnd post/prior=2.22e-04/1.18e-04 | Best 0.0979 | Patience 10/40
 >> Epoch 073 | Train Total=0.6292 | Val post/prior Total=0.6725/0.7206, Recon post/prior=0.5959/0.5920, KL=0.0222, CycSim post/prior=0.0588/0.0385, CycMeas=0.0981, PriorBnd post/prior=1.09e-04/1.02e-04 | Best 0.0979 | Patience 11/40
 >> Epoch 074 | Train Total=0.6311 | Val post/prior Total=0.6714/0.7184, Recon post/prior=0.5958/0.5916, KL=0.0218, CycSim post/prior=0.0580/0.0370, CycMeas=0.0981, PriorBnd post/prior=1.81e-04/1.14e-04 | Best 0.0979 | Patience 12/40
 >> Epoch 075 | Train Total=0.6307 | Val post/prior Total=0.6702/0.7187, Recon post/prior=0.5959/0.5919, KL=0.0243, CycSim post/prior=0.0568/0.0371, CycMeas=0.0980, PriorBnd post/prior=1.59e-04/1.04e-04 | Best 0.0979 | Patience 13/40
 >> Epoch 076 | Train Total=0.6319 | Val post/prior Total=0.6705/0.7163, Recon post/prior=0.5937/0.5892, KL=0.0260, CycSim post/prior=0.0585/0.0361, CycMeas=0.0997, PriorBnd post/prior=2.39e-04/1.15e-04 | Best 0.0979 | Patience 14/40
 >> Epoch 077 | Train Total=0.6322 | Val post/prior Total=0.7337/0.7915, Recon post/prior=0.6223/0.6200, KL=0.0401, CycSim post/prior=0.0869/0.0723, CycMeas=0.1020, PriorBnd post/prior=1.05e-04/7.14e-05 | Best 0.0979 | Patience 15/40
 >> Epoch 078 | Train Total=0.6324 | Val post/prior Total=0.6981/0.7543, Recon post/prior=0.6085/0.6064, KL=0.0281, CycSim post/prior=0.0694/0.0541, CycMeas=0.0992, PriorBnd post/prior=1.20e-04/7.57e-05 | Best 0.0979 | Patience 16/40
 >> Epoch 079 | Train Total=0.6344 | Val post/prior Total=0.6735/0.7243, Recon post/prior=0.5960/0.5927, KL=0.0219, CycSim post/prior=0.0596/0.0409, CycMeas=0.0983, PriorBnd post/prior=1.32e-04/9.80e-05 | Best 0.0979 | Patience 17/40
 >> Epoch 080 | Train Total=0.6358 | Val post/prior Total=0.6713/0.7180, Recon post/prior=0.5939/0.5900, KL=0.0235, CycSim post/prior=0.0593/0.0372, CycMeas=0.0994, PriorBnd post/prior=1.51e-04/1.10e-04 | Best 0.0979 | Patience 18/40
 >> Epoch 081 | Train Total=0.6364 | Val post/prior Total=0.6720/0.7171, Recon post/prior=0.5936/0.5883, KL=0.0260, CycSim post/prior=0.0597/0.0366, CycMeas=0.1010, PriorBnd post/prior=4.06e-04/1.17e-04 | Best 0.0979 | Patience 19/40
 >> Epoch 082 | Train Total=0.6356 | Val post/prior Total=0.7465/0.8110, Recon post/prior=0.6329/0.6319, KL=0.0471, CycSim post/prior=0.0883/0.0750, CycMeas=0.1076, PriorBnd post/prior=7.15e-05/6.92e-05 | Best 0.0979 | Patience 20/40
 >> Epoch 083 | Train Total=0.6376 | Val post/prior Total=0.6824/0.7368, Recon post/prior=0.6006/0.5973, KL=0.0209, CycSim post/prior=0.0635/0.0470, CycMeas=0.0992, PriorBnd post/prior=1.19e-04/8.81e-05 | Best 0.0979 | Patience 21/40
 >> Epoch 084 | Train Total=0.6374 | Val post/prior Total=0.6686/0.7190, Recon post/prior=0.5948/0.5907, KL=0.0232, CycSim post/prior=0.0564/0.0382, CycMeas=0.0980, PriorBnd post/prior=1.73e-04/1.05e-04 | Best 0.0979 | Patience 22/40
 >> Epoch 085 | Train Total=0.6398 | Val post/prior Total=0.6702/0.7197, Recon post/prior=0.5935/0.5893, KL=0.0245, CycSim post/prior=0.0587/0.0382, CycMeas=0.1006, PriorBnd post/prior=1.77e-04/1.08e-04 | Best 0.0979 | Patience 23/40
 >> Epoch 086 | Train Total=0.6388 | Val post/prior Total=0.6703/0.7160, Recon post/prior=0.5940/0.5894, KL=0.0232, CycSim post/prior=0.0584/0.0366, CycMeas=0.0984, PriorBnd post/prior=3.01e-04/1.05e-04 | Best 0.0979 | Patience 24/40
 >> Epoch 087 | Train Total=0.6401 | Val post/prior Total=0.6719/0.7172, Recon post/prior=0.5934/0.5886, KL=0.0234, CycSim post/prior=0.0602/0.0385, CycMeas=0.0981, PriorBnd post/prior=1.63e-04/1.11e-04 | Best 0.0979 | Patience 25/40
